Name,Mentions,Writer
Connor P. Chung,2,0
Jenna D. Lang,2,0
Hollyn Torres,2,0
Isabell Sagar,2,0
Shaked Leibovitz,2,0
Michael Sonsini,2,0
Duncan Sutherland,2,0
Mazarine Broze,2,0
Esther J. Xiang,2,0
Juan C. Venancio,2,0
Brooke L. Livingston,2,0
Chris Wang,2,0
Oliver Oz,2,0
James Mathew,2,0
Jessica Dong,2,1
Andrew W. Shen,2,1
Chloe E.W. Levine,2,1
Alyx J. Britton,2,1
Aaryan G. Morrison,2,0
Owen Torrey,2,0
Clark Dean,2,0
Alice J. Donnellan,2,1
Charles J. Vaughan,2,0
Victor L. Qin,2,0
Noah Hodge,2,0
Nina S. Uzoigwe,2,0
Jace Foskey,2,0
Wyatt W. Hurt,2,0
Sophia Ho,2,0
Maria Keselj,2,1
Michael Jaffe,2,0
Lucy Li,2,1
Allison G. Lee,2,1
Isaac O. Longobardi,2,1
Shreyvardhan Sharma,2,1
Carine M. Hajjar,2,1
Felicia Y. Ho,2,0
Nicholas Daley,2,1
Sarah Bolnick,2,0
Kayla M. Manning,2,0
Brian Medrano,2,1
Daniel R. Brunnick,2,0
Angel U. Onuoha-Onyekuru,2,0
Benjamin S. Rabinowitz,2,0
Zachary A. Zimmer,2,0
Derrick Ochiagha,2,1
Jessica M. Moore,2,0
Jason S. Lee,2,0
Dylan Zhou,2,0
Laura A. Jenny,2,0
Karly Hou,2,0
Avila S. Reynolds ,2,0
Wesley L. Donhauser,2,1
Ton-Nu Nguyen-Dinh,2,0
Melissa Meng,2,0
Daniel J. Forrest,2,0
Aarushi H. Shah,2,0
Jasmine M. Green,2,0
Jaden S. Thompson,2,1
Treasure F. Brooks,2,0
Tuzo Mulunda,2,0
Justas Jasevicius,2,0
Sherry Liu,1,0
Katherine Wang,1,1
David A. Hill,1,0
Hana C. Kim,1,0
Hana Kim,1,0
John Y. C. Wang,1,1
Conner Williams,1,0
Cassie C. Wang,1,0
Liam H. Cleary,1,0
Kevin Zhu ,1,1
Yong L. Dich,1,0
Tina Liu,1,0
Robert F.  Kennedy,1,0
William Evans,1,0
Zachary Ellison,1,0
James Gui,1,0
Alejandro Jimenez,1,0
Ryan E. Ixtlahuac,1,0
William B. Evans,1,0
Alicia Rivera,1,0
Nicolas Xu ,1,1
Ida Paul,1,0
Brenda Esqueda,1,0
Ethan W. Smith,1,0
Ryan Wilson,1,0
Mason Williams,1,0
Rachel C. Sadoff,1,0
Marcus Miller,1,0
William L. Brown,1,0
Juliana C. Rogoff,1,0
Emmanuel J. Kelly,1,0
Brian Young,1,0
Andre J. Senecal,1,0
Chelsea Vuong,1,0
Jocelyn Tolpin,1,1
Eric I. Lu,1,0
Christopher S. Lee,1,0
Morgan D. Price,1,0
Jason C. Shen,1,0
Ben C. G. Lee,1,0
Menelik Epee-Bounya,1,0
Noel Chou,1,0
Rachel Ma,1,0
Eric H. Li,1,1
Timothy R. Williamson,1,0
Laura S. Wilson,1,0
Jessica Zhang,1,0
Wyatt Hurt,1,0
Amanda R. Powers,1,0
Myer J. Johnson-Potter,1,0
Ethan Harradine,1,0
Sammy Murrell,1,0
Taya Cowan,1,0
Nazeli I. Hagen,1,0
Justin J. Hancock,1,0
Cassandra J. Marando,1,0
Sarah K. Lucioni,1,0
John Wang,1,0
Elle L. Shaheen,1,0
Hannah J. Humes,1,0
Ivan A. Vazquez,1,0
George F. Wang,1,0
Lucas Koelle,1,0
Thomas J. Burr,1,0
Umut Arslan,1,0
Eamon Mcloughlin,1,0
Chase Furey,1,0
Amy Brooke,1,0
Kolbe Keating,1,0
Sanika Mahajan,1,0
George H. Moe,1,0
Cameron E. Reaves,1,0
Sara M. Kvaska,1,0
Thomas Satterthwaite,1,0
Elida Kocharian,1,1
Ryan McCarthy,1,0
Rediet G. Alemu,1,0
Olivia Farrar,1,0
Harris Scott,1,0
Sarah K. Flynn,1,0
Sahil S. Lauji,1,0
Miranda Agnew,1,1
Mason Watson,1,0
Derek Woo,1,0
Laura Frustaci,1,0
Olivia Graham,1,1
Katherine M. Lempres,1,1
Nicole Jarmula,1,0
Blu Frankel,1,0
Emily Malpass,1,0
Colin J. McGinn,1,0
Sarah B. Gutema,1,0
Allie Russell,1,0
Jasper W. Fu,1,0
Raissa Chughtai,1,0
Alden E.J. Fossett,1,0
Veronica Santana,1,0
Stephen Moon,1,0
Zhiye Yang,1,0
Jordan O. Johnson,1,0
Nathan Y. Lee,1,1
Laura D. Zharmukhametova,1,0
Nathan D. Lee,1,0
Kaylee Kim,1,1
James Lee,1,0
Sophie B. Khorasani,1,0
James Allan,1,0
Isaiah O. S. J. Michalski,1,0
Hal Watts,1,0
Olivia S. Farrar,1,0
Carissa J. Chen,1,0
Michael Zhang,1,0
Oliver Q. Sussman,1,1
Emily Shen,1,1
Martin Bernstein,1,0
Jennifer N. Baker,1,0
Wesley Donhauser,1,0
Elle Shaheen,1,0
Andrew D. Crawford,1,0
Brandyn H. Ulrich,1,0
Sophia M.F. Higgins,1,1
Jacqueline Tubbs,1,0
Mridu Nanda,1,0
Gabriela A. Rivero,1,0
Franklin S. Hang,1,0
Harry H. Hager,1,0
Alden E. Fossett,1,0
Heide L. Rogers,1,1
Emily M. Shoemaker,1,0
Archie J. W. Hall,1,1
Andrew W. Aoyama,1,1
Louise Estberg,1,0
Michelle Y. Zhang,1,1
Kent Toshima,1,0
Christopher O'Brien,1,0
Natalie Gale,1,1
Austin E. Taylor,1,0
Jalen T. Daniels,1,0
Joy B. Nesbitt,1,0
Jacob A. Licht,1,0
Benjamin L. Owens,1,1
Peter J. Morrissey,1,0
Leul S. Dadi,1,0
Ryan R. Bayer,1,0
Lucia M. Couto,1,0
Lucas Lee,1,0
Charlie Horowitz,1,0
John A. Fish,1,0
Stephanie D. Cheng,1,0
Joyce Tian,1,0
Zachary J. Miller,1,0
James Garavito,1,0
David Gonzalez,1,1
Sina Sadeghzadeh,1,1
Ahan T. Malhotra,1,0
Danielle D. Davis,1,0
Jasmine Hyppolite,1,0
Caroline S. Ko,1,0
Gelila G. Wolle,1,0
Kevin Zhu,1,1
Aidan L. Stoddart,1,0
Naomi P. Vickers,1,0
Emma P. Seevak,1,0
Karina G Gonzalez-Espinoza,1,1
Arkam M. Javed,1,0
Kevin Chen,1,1
Vivian E. Lee,1,0
Sophie Z. Li,1,1
Charlie Davidson,1,0
Audrey Pettner,1,0
Isabella Shaw,1,0
James A. Briggs,1,0
Amir K. Hamilton,1,1
Jessica Liu,1,0
Remedy Ryan,1,0
Jason Lee,1,0
Kevin Ray,1,0
Luke Walker,1,0
Robert Kossmann,1,0
Keturah J. Gadson,1,0
Melissa Drake,1,0
Frankie A. Tangredi,1,0
Connie Cai,1,0
Huong Le,1,0
Solomon Egbe,1,0
Pat Holly,1,0
Tom Aicardi,1,0
Logan Clifton,1,0
Spencer Rolland,1,0
Khalid Thomas,1,0
Sewon Park,1,0
Carmen Enrique,1,0
Jude T. Okonkwo,1,1
Lauren Tucker,1,0
Kendall N. Laws,1,0
Allison Scharmann,1,1
Mason T. Forbes,1,0
Olivia M. Owens,1,1
Andrew B. Jing,1,0
Daniela D. M. Villafuerte,1,0
Haeyun Lee,1,0
Priyanka Thapa,1,0
Alexa Jordan,1,0
Karina Dubrovskaya,1,0
Drake Evan Johnson,1,0
Jennifer R. Xiao,1,1
Emmanuel Kelly,1,0
Mikki A. Thompson,1,0
Jane Li,1,1
Amanda Zhang,1,0
Gayatri Balasubramanian,1,0
Jack Kelly,1,0
Cindy Hsin-Ju Liu,1,0
Chamberlain Mathis,1,0
Elizabeth Saoud,1,0
Dara M. Badon,1,0
Bonny K. Lemma,1,0
Hannah A.J. Eckstein,1,0
Duha H. Alfatlawi,1,0
Mary Kolesar,1,0
Noor Kamal,1,0
Maxwell K. Ho,1,0
Abigail G. Sage,1,1
Ellie A. Corbus,1,0
Sandra Moon,1,0
Christopher Robin Milne,1,0
Owen D. Torrey,1,0
Sarah N. King,1,0
Aislinn S. Devlin,1,0
Zachary R. Werner,1,0
Avril Saavedra,1,0
Daniel E. Sherman,1,0
Bobby Groves,1,0
Pierce Bausano,1,0
Tucker Ribman,1,0
Elizabeth Holmes,1,0
Emmanuel Ngbemeneh,1,0
Daniel Puczko,1,0
"Mason Forbes
 
",1,0
Karina G. Gonzalez-Espinoza,1,1
Lion Lee,1,0
Caroline M. Kremer,1,0
Henry Marshall,1,0
Martha Merriam,1,0
Jarod Stone,1,0
Sydney K. Penny,1,0
Stephen T. Moon,1,0
Ami Ishikawa,1,0
Sarah J. Rodriguez,1,1
Austin Y. Hwang,1,0
Olivia Hoover,1,0
Alexis A. Elliot,1,0
Unique O. Hodge,1,0
Trula J. Rael,1,0
Ryen A. Diaz,1,0
Dasha Metropolitansky,1,0
Rachel L. Ma,1,0
Elizabeth A. Kinard,1,0
Katie R. McClanan,1,0
Justin D. Mack,1,0
James Heffernan,1,0
Nikhil K. Dharmaraj,1,0
Joshua Kim,1,1
Justin C. Lee,1,1
Melissa Li,1,1
Molly McCafferty,1,1
Noah P. Gold,1,0
Eli J. Langley,1,0
Rebecca N. Thrope,1,0
Marissa G. Sumathipala,1,1
Shuvom Sadhuka,1,1
Eliane S. Grace,1,0
Michael Xie,1,1
Eric Li,1,0
Paul E. Kuechler,1,0
Jerome M. Edwards,1,0
Trisha N. Prabhu,1,0
Garrett W. Walker,1,0
Kavya V. Kopparapu,1,0
Lily E. Gulledge,1,0
Austin D. Fuller,1,0
Julio Perez,1,0
Inde Halligan,1,0
Suyeon Lee,1,0
Charles X. Hua,1,0
Erin T. Wong,1,0
Arjun J. Prasad,1,0
Char Deslandes,1,0
Lauren A. Tucker,1,0
Farah M. Afify,1,0
Fay Huo,1,0
Jose M. Martinez,1,0
Kevin H. Lin,1,1
Madison R. Conklin,1,0
David M. Gonzalez,1,0
Quyen Tran,1,0
Jack C. Lawlor,1,0
Olivia M. Price,1,0
Jack Schroeder,1,1
Sarah Zeng,1,0
Stephanie Zhao,1,0
Joseph M. Rager,1,0
Naomi P. Davy,1,0
Sumhith V. Aradhyula,1,0
Juhee Goyal,1,0
Adriana Rotaru,1,0
Nikita Jindal,1,0
Gaurang Goel,1,0
Kaiwen Li,1,1
Sarah B. Gill,1,0
Anagha Kumar,1,0
Terry G. Ni,1,0
Luann M. Zerefa,1,0
Letitia C. Chan,1,0
Tanisha M. Mugwimi,1,0
Erica M. Jarrell,1,0
Jonathan M. Ragheb,1,0
Winona Guo,1,0
Evelyn M. Manyatta,1,0
Remka Y. Nwana,1,0
Isaiah J. Kim,1,0
Shraddha Joshi,1,0
Gabriel Dardik,1,0
Michael Cheng,1,0
Meshaal Bannerman,1,0
Natalie La Rose,1,0
Ethan J. Fields,1,0
Daniel K. Hasegawa,1,0
Tram Nguyen,1,0
Amanda D. Maille,1,0
Daniel I. Mendoza,1,0
Jimmy Lin,1,0
Lawson Z. Wong,1,0
Selena X. Zhang,1,0
Sarah M. Lightbody,1,1
Toochi A. Uradu,1,0
Grey O. Johnson,1,0
Leah A. Smart,1,0
Grace Rotondo,1,0
Koji A. Everard,1,0
Lily W. Grob,1,0
Ece Hakim,1,0
Charlotte Clark,1,0
Camerin Rawson,1,0
Emily Ryan,1,0
Ahmad S.M. Saaid,1,0
Tre Hollingsworth,1,0
Bjarni Atlason,1,0
Ethan Fields,1,0
Shayla L. LeBlanc,1,1
Rahel M. Imru,1,0
Serena [D. Chen ,1,1
Samuel A. Thau,1,1
Judy F. Durkin,1,0
Danielle Foltz,1,0
Laila Tauqeer,1,0
Britteny C. Okorom-Achuonye,1,0
Iyabo B. Awogboro,1,0
Tyler T. Johnston,1,1
Sanjana Singh,1,1
Gia-Han Le,1,0
Richard K. Darkwa,1,0
Troy Powell,1,0
Beck A. Saine,1,0
Grace Thawley,1,0
Ahmad S. M. Saaid,1,0
Jackie M. Feffer,1,0
Christine Lee,1,1
Buddy Scott,1,0
Sophia M. Higgins,1,1
Julian A. Miltenberger,1,0
Nicholas S. Grundlingh,1,0
James Z. Gui,1,0
Javin Pombra,1,0
Adam Stone,1,0
Margaret Isa Butler,1,0
Vincent Li,1,0
Vincent W. Li,1,0
Aba Sam,1,0
Campbell J. Schoenfeld,1,0
Alex J. Yu,1,0
Frances Choi,1,0
Daniel Dae Kim,1,0
Buddy K. Scott,1,0
Albert B. Zhang,1,0
Serena S. Shah,1,0
Ismail Ajjawi,1,0
Pranati P. Parikh,1,1
Hannah R. Alton,1,0
Carol J. Cao,1,0
Gabriella A. Mestre,1,0
Julia C. Welsh,1,0
Kareese N. Akinloba,1,0
Georgia K. Bowder-Newton,1,0
Jadyn C. Bush,1,0
Charlie J. Maki,1,0
Ty L. Geri,1,0
Hannah Gardner,1,0
Kyle Englander,1,0
Eloise Freitag,1,0
James R. Swartz,1,0
Daniela J. Castro,1,0
Rena A. Cohen,1,0
Jarod R. Stone,1,0
Oskar Nilsson,1,0
Tatiana S. Jimenez,1,0
Luca M. Hinrichs,1,0
Steven T. Elliott,1,0
Michael Baick,1,0
Oswaldo Ambrosio,1,0
Piper Winkler,1,0
Nasser B. Marrakchi,1,0
Kyle J. Salvatore,1,0
Fan F. Zhou,1,0
Winona H. Y. Guo,1,0
Tabitha L. Escalante,1,0
Palak Shah,1,0
Katie Barkin,1,0
Owen Schafer,1,0
Paul Kuechler,1,0
Colin Le,1,0
Wassim Marrakchi,1,0
Dimitar Karev,1,0
Nadine A. Jackson,1,0
Chase J. Souder,1,0
Andrew W.D. Aoyama,1,1
Chet A. Ellis,1,0
David Madzivanyika,1,0
Jason Brown,1,0
Khalil Dawsey,1,0
Erin J. Wright,1,0
Melissa E. Drake,1,0
Brooke J. Martin,1,0
Angela E. Kim,1,0
Samuel Murdock,1,0
Ije Okereke,1,0
Joseph C. Felkers,1,0
Dumebi M. Adigwe,1,0
Alex Pipkin,1,0
Emma Kearney,1,0
Zach Brown,1,0
Reese Garcia,1,0
Selket R. Jewett,1,0
Marcos B. Cecchini,1,0
Sam F. Dvorak,1,1
Veronika Y. Melnik,1,0
Alida B. Monaco,1,0
Alexa Jacques,1,0
Hope Cessford,1,0
Galen Lewis,1,0
Isabel Wu,1,0
Rebeca R. Serson,1,0
Anastasia Onyango,1,0
Richard Reid,1,0
Noah A. Jun,1,0
Albert X. Zhu ,1,1
Connor C. Sakmar,1,0
Nihal Raman,1,1
Allison Chang,1,1
Hunt Sparks,1,0
Derek Schaedig,1,1
Isabella R. Trasolini,1,0
Helen S. Cho,1,0
Uday R. Schultz,1,0
